id,status_id,date,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_verified,country,status_url,description,followers_count,friends_count,listed_count,statuses_count,favourites_count,verified
1.35E+18,1.35E+18,03/01/2021,sneakenergy,It returns. Blizzard drops 8th January. 2021 already beats 2020.  https://t.co/y37cgbGxK1,,,[],,,,501,56,,28,[],,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,https://twitter.com/SneakEnergy/status/1345445244150685696,,,,,,,
1.34E+18,1.34E+18,28/12/2020,sneakenergy,Itâ€™s official. BLIZZARD IS BACK. January 8th. ðŸŽ¥  ft Sneak Ambassador @harleyxngel (insta)  https://t.co/Rz3j8rlTG6,,,[],,,,469,97,,77,[],,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,https://twitter.com/SneakEnergy/status/1343270451225780230,,,,,,,
1.34E+18,1.34E+18,29/12/2020,sneakenergy,Blizzard is back. The seasonal flavour returns Jan 8th. Donâ€™t miss your chance to stock up for the year ahead â�„ï¸�  https://t.co/t1MDh3cucR,,,[],,,,420,74,,63,[],,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,https://twitter.com/SneakEnergy/status/1343632875632078854,,,,,,,
1.35E+18,1.35E+18,04/01/2021,sneakenergy,"The Blizzard is closing in. Get ready for the drop - Jan 8th, 3pm GMT ðŸ‡¬ðŸ‡§ // 10am EST ðŸ‡ºðŸ‡¸ . ðŸ“· d.grade [on IG] Camera: A7RIV Lens: 24-70 f2.8  https://t.co/sWYmHDlwSw",,,[],,,,341,62,,32,[],,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,https://twitter.com/SneakEnergy/status/1346109308229079046,,,,,,,
1.34E+18,1.34E+18,31/12/2020,sneakenergy,"We couldnâ€™t bring back Blizzard, without bringing back a hoodie drop. Drops Jan 8th.  https://t.co/S0V9X2ikYO",,,[],,,,340,62,,48,[],,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,https://twitter.com/SneakEnergy/status/1344357717239095297,,,,,,,
1.35E+18,1.35E+18,07/01/2021,sneakenergy,"The 24-hour countdown begins. Blizzard's ready - are you? â�„ï¸� Dropping 3pm GMT, 10am ET.  ðŸ“· @imLogan_  ðŸ“· @flashbachphotos  https://t.co/b0uHJkYUOY",,,[],,,,316,59,,38,[],,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,https://twitter.com/SneakEnergy/status/1347196570710794241,,,,,,,
1.34E+18,1.34E+18,30/12/2020,sneakenergy,"Enjoy Blizzard the way it was intended - in the matching Shaker. Drops alongside our Blizzard flavour, Jan 8th.  https://t.co/4m38S9lYFh",,,[],,,,300,55,,40,[],,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,https://twitter.com/SneakEnergy/status/1343995228865376267,,,,,,,
1.35E+18,1.35E+18,07/01/2021,sneakenergy,Everything you need to know about the Blizzard drop in 30 seconds. Go. ðŸ‘€  https://t.co/Ddy976Wc4q,,,[],,,,150,32,,19,[],,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,https://twitter.com/SneakEnergy/status/1347150323803172866,,,,,,,
1.35E+18,1.35E+18,05/01/2021,sneakenergy,This is what happens when you ask @nicktaetro to create a Blizzard track you can chill to â�„ï¸� . Software: Ableton Live Controller: Akai MPK Mini Camera: Lumix Gh5 Lens: 15mm f/1.7  https://t.co/PxttFDL72D,,,[],,,,117,19,,11,[],,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,https://twitter.com/SneakEnergy/status/1346471709893746689,,,,,,,
1.35E+18,1.35E+18,08/01/2021,sneakenergy,"ðŸ‡ªðŸ‡º EU CUSTOMERS: Unfortunately, shipping to the EU is still suspended, and will be for tomorrowâ€™s Blizzard launch (thanks Brexit ðŸ™„). This is only temporary. We will make sure there is Blizzard stock available for when the EU launch is announced. Stay locked for updates!",,,[],,,,75,10,,16,[],,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,https://twitter.com/SneakEnergy/status/1347223047623815170,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,Hereâ€™s how Sneak Creator JesseMakesFilms created thisâ€¦  https://t.co/vJiZrsBy2g,,,[],,,,67,9,,3,[],,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,https://twitter.com/SneakEnergy/status/1345445495351730177,,,,,,,
1.35E+18,1.35E+18,08/01/2021,sneakenergy,We've had a few questions about what this means for the UK. Thankfully the UK launch goes ahead as planned - Blizzard will still launch today at 3pm GMT! ðŸŒ¨â�„ï¸�ðŸ™Œ  https://t.co/wCaVfBfLcN,,,[],,,,26,4,,1,[],,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,https://twitter.com/SneakEnergy/status/1347493009521315840,,,,,,,
1.34E+18,1.34E+18,29/12/2020,sneakenergy,@WajaTheHAT Hi ðŸ‘‹,,,"[{'screen_name': 'WajaTheHAT', 'name': 'Waja', 'id': '754049084210675712'}]",,,,9,0,,3,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1343864115345973248,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@iiMiSTx You got it ðŸ‘�,,,"[{'screen_name': 'iiMiSTx', 'name': 'iMiSTx', 'id': '805024461724545024'}]",,,,6,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345458908245192712,,,,,,,
1.34E+18,1.34E+18,30/12/2020,sneakenergy,@ParrisGaming @YouTubeViperMan Not as cold as the Gulag though Parris ðŸ‘€,,,"[{'screen_name': 'ParrisGaming', 'name': 'SNEAK ParrisGaming', 'id': '737031555579842560'}, {'screen_name': 'YouTubeViperMan', 'name': 'VIPERMAN', 'id': '1201894142328102915'}]",,,,6,0,,2,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1344311216680927232,,,,,,,
1.34E+18,1.34E+18,30/12/2020,sneakenergy,@LensEffect_ Welcome to the team!,,,"[{'screen_name': 'LensEffect_', 'name': 'Steven', 'id': '1431978871'}]",,,,6,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1343957085743165440,,,,,,,
1.34E+18,1.34E+18,28/12/2020,sneakenergy,@VEN0MISS @harleyxngel Well thanks so much ðŸ™Œ,,,"[{'screen_name': 'VEN0MISS', 'name': 'VENOMISS ðŸ�° SNEAK', 'id': '242455253'}, {'screen_name': 'harleyxngel', 'name': 'harls â™¡', 'id': '832981465'}]",,,,6,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1343457019265748993,,,,,,,
1.35E+18,1.35E+18,08/01/2021,sneakenergy,@fut_fg ðŸ˜‚ðŸ˜‚ðŸ˜‚,,,"[{'screen_name': 'fut_fg', 'name': 'FG', 'id': '354547225'}]",,,,5,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1347295752553443330,,,,,,,
1.35E+18,1.35E+18,08/01/2021,sneakenergy,@himynameisfox That's exactly what we've said we're going to do - and exactly what we will do!,,,"[{'screen_name': 'himynameisfox', 'name': 'Fox', 'id': '221496445'}]",,,,5,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1347223831522508803,,,,,,,
1.34E+18,1.34E+18,30/12/2020,sneakenergy,@ParrisGaming â�„ï¸�â�„ï¸�â�„ï¸�,,,"[{'screen_name': 'ParrisGaming', 'name': 'SNEAK ParrisGaming', 'id': '737031555579842560'}]",,,,4,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1344248430231777281,,,,,,,
1.34E+18,1.34E+18,30/12/2020,sneakenergy,@ALIOGTV @JayceBrandt Guess it's time to get a bigger shelf?,,,"[{'screen_name': 'ALIOGTV', 'name': 'Î›LI OGâ„¢', 'id': '2848737071'}, {'screen_name': 'JayceBrandt', 'name': 'YouTube Jayceâ„¢ï¸�', 'id': '1080418807389306880'}]",,,,4,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1344236957774323716,,,,,,,
1.34E+18,1.34E+18,28/12/2020,sneakenergy,@SmithdoggyTTV Love your thinking ðŸ˜Ž,,,"[{'screen_name': 'SmithdoggyTTV', 'name': 'SNEAK Smithdoggy', 'id': '1283396372050436099'}]",,,,4,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1343456618713935873,,,,,,,
1.34E+18,1.34E+18,28/12/2020,sneakenergy,@TravisCoxYT @harleyxngel Blizzard is our seasonal flavour for winter ðŸ‘�,,,"[{'screen_name': 'TravisCoxYT', 'name': 'Travis Cox', 'id': '2288428305'}, {'screen_name': 'harleyxngel', 'name': 'harls â™¡', 'id': '832981465'}]",,,,4,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1343281726290845697,,,,,,,
1.35E+18,1.35E+18,04/01/2021,sneakenergy,"@Tyswarri0r We are, thanks! Hope you are too ðŸ‘‹",,,"[{'screen_name': 'Tyswarri0r', 'name': 'Tyswarrior', 'id': '751774917536968704'}]",,,,3,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1346076995738882049,,,,,,,
1.34E+18,1.34E+18,30/12/2020,sneakenergy,@NinjaNugget999 Blizzard has a lemonade taste ðŸ¥¶,,,"[{'screen_name': 'NinjaNugget999', 'name': 'NinjaNugget', 'id': '3290233433'}]",,,,3,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1344000167746351104,,,,,,,
1.34E+18,1.34E+18,29/12/2020,sneakenergy,@SmithdoggyTTV Happy birthday!,,,"[{'screen_name': 'SmithdoggyTTV', 'name': 'Smithdoggy', 'id': '1283396372050436099'}]",,,,3,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1343908210072297473,,,,,,,
1.34E+18,1.34E+18,29/12/2020,sneakenergy,@xoJoked I know which one I'd go for ðŸ‘€,,,"[{'screen_name': 'xoJoked', 'name': '#1 Jay', 'id': '1070015015384682497'}]",,,,3,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1343865482940710914,,,,,,,
1.34E+18,1.34E+18,29/12/2020,sneakenergy,@HailsLouis3 Each serving is only 88p and there are 40 servings per tub ðŸ¤Ÿ,,,"[{'screen_name': 'HailsLouis3', 'name': 'ðŸŽ€LaDySmUrF3tT3ðŸŽ€', 'id': '843915358188834822'}]",,,,3,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1343636457035083776,,,,,,,
1.35E+18,1.35E+18,07/01/2021,sneakenergy,@SmithdoggyTTV How much is a year's supply though? ðŸ˜‰,,,"[{'screen_name': 'SmithdoggyTTV', 'name': 'SNEAK Smithdoggy', 'id': '1283396372050436099'}]",,,,2,0,,3,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1347159992844111874,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@YouTubeViperMan ðŸ¤ŸðŸ¤ŸðŸ¤Ÿ,,,"[{'screen_name': 'YouTubeViperMan', 'name': 'VIPERMAN', 'id': '1201894142328102915'}]",,,,2,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345666119173099530,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@iEndo_og @DeeRockUK â�„ï¸�â�„ï¸�â�„ï¸�,,,"[{'screen_name': 'iEndo_og', 'name': 'iEndo_OG', 'id': '1343570125849550848'}, {'screen_name': 'DeeRockUK', 'name': 'SNEAK DeeRock', 'id': '1178026475544616960'}]",,,,2,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345666083395694592,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@CozyFPS_ Blizzard is coming ðŸ¥¶,,,"[{'screen_name': 'CozyFPS_', 'name': 'Cozy', 'id': '1273848741376778240'}]",,,,2,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345665205360058370,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@SaiyanTimeLord8 @solonduin Correct ðŸ‘�,,,"[{'screen_name': 'SaiyanTimeLord8', 'name': 'Graham Billson', 'id': '2743709584'}, {'screen_name': 'solonduin', 'name': 'Solonduin', 'id': '397570269'}]",,,,2,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345451258174464000,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@ALIOGTV @JayceBrandt We will let you know closer to the launch date ðŸ™Œ,,,"[{'screen_name': 'ALIOGTV', 'name': 'Î›LI OGâ„¢', 'id': '2848737071'}, {'screen_name': 'JayceBrandt', 'name': 'YouTube Jayceâ„¢ï¸�', 'id': '1080418807389306880'}]",,,,2,0,,2,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345451042297810944,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@LetsGoDaymo Extremely ðŸ¥¶ðŸ¥¶,,,"[{'screen_name': 'LetsGoDaymo', 'name': 'DK LetsGoDAYMOâ„¢', 'id': '1084716241259061248'}]",,,,2,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345450695365976064,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@SirrSky You know we drop Blizzard on the 8th donâ€™t you ðŸ‘€,,,"[{'screen_name': 'SirrSky', 'name': 'Sky', 'id': '998597978750414849'}]",,,,2,0,,1,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345428865880043520,,,,,,,
1.35E+18,1.35E+18,03/01/2021,sneakenergy,@sammydoo09 Come on ðŸ™ŒðŸ™ŒðŸ™Œ,,,"[{'screen_name': 'sammydoo09', 'name': 'plz_help_meðŸ‡¬ðŸ‡§', 'id': '746966345447841792'}]",,,,2,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345400422979268609,,,,,,,
1.35E+18,1.35E+18,02/01/2021,sneakenergy,@midgeman @lionheartx10 ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥ðŸ”¥,,,"[{'screen_name': 'midgeman', 'name': 'Midgeman', 'id': '3611949791'}, {'screen_name': 'lionheartx10', 'name': 'Lionheartx10', 'id': '603138448'}]",,,,2,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345389791886647297,,,,,,,
1.35E+18,1.35E+18,02/01/2021,sneakenergy,@GhostWxrlds ðŸ¤ŸðŸ¤ŸðŸ¤ŸðŸ¤Ÿ,,,"[{'screen_name': 'GhostWxrlds', 'name': 'ghost', 'id': '993740092488474624'}]",,,,2,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1345310284605485056,,,,,,,
1.34E+18,1.34E+18,01/01/2021,sneakenergy,"@dwarfxshire Hey, we would not suggest Sneak to anyone who needs to watch their caffeine intake, this includes children (under 16)",,,"[{'screen_name': 'dwarfxshire', 'name': 'Dwarfxshire', 'id': '1246274620006830080'}]",,,,2,0,,0,[],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,https://twitter.com/SneakEnergy/status/1344938731057405953,,,,,,,
